timestamp,op,issue_region,obj_key,size,ttl
2023-12-03 18:04:56,write,aws:us-west-1,ffa4948d,1389647,-1
2023-12-03 18:05:00,read,aws:us-east-1,ffa4948d,1389647,22.857142857142858
2023-12-03 18:05:03,write,aws:us-east-1,74b3f5a3,2993624,-1
2023-12-03 18:05:08,read,aws:us-east-1,74b3f5a3,2993624,-1
2023-12-03 18:05:14,read,aws:eu-south-1,ffa4948d,1389647,21.81818181818182
2023-12-03 18:05:17,read,aws:us-east-1,ffa4948d,1389647,22.857142857142858
2023-12-03 18:05:19,read,aws:us-east-1,74b3f5a3,2993624,-1
2023-12-04 18:05:26,write,aws:eu-central-1,cbb12321,1444711,-1
2023-12-04 18:05:30,read,aws:us-east-1,74b3f5a3,2993624,-1
2023-12-05 18:05:38,read,gcp:us-west1-a,cbb12321,1444711,22.857142857142858
2023-12-05 18:05:43,read,aws:us-west-1,ffa4948d,1389647,-1
